Title,Screen,Processor,RAM,Disk,Graphic_card,Operating_system,Price,Discounted_price,Brand,screen_inches,screen_res,screen_touch,CPU,disk_hdd,disk_ssd,disk_flash,disk_emmc,GPU,OS,is_discounted,Price_int,Shop
"Dell Inspiron 3593-8643 15,6"" Intel® Core™ i5-1035G1 - 8GB RAM - 256GB Dysk - MX230 Grafika - Win10","15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 10gen 1035G1 1,0 - 3,6 GHz",8,256 GB SSD,nVidia® GeForce MX 230 + Intel UHD Graphics,Windows 10 Home Edition,2 899 z?,0,dell,15.6,1920x1080,0,i5,0,256,0,0,geforce mx,windows,0,2899,eurortvagd
"Acer Spin 1 11,6"" Intel® Celeron™ N4000 - 2GB RAM - 32GB Dysk - Win10S","11,6 cala, ekran dotykowy 1366 x 768 pikseli","Intel® Celeron® N4000 1,1 - 2,6 GHz",2,32 GB Flash,Intel® HD Graphics 600,Windows 10 S,999 z?,0,acer,11.6,1366x768,1,celeron,0,0,32,0,integrated,windows,0,999,eurortvagd
"Dell Inspiron 3585 15,6"" AMD Ryzen 5 2500U - 8GB RAM - 256GB Dysk - Win10","15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 5 2500U 2,0 - 3,6 GHz",8,256 GB SSD,AMD Radeon Vega 8,Windows 10 Home Edition,2 499 z?,0,dell,15.6,1920x1080,0,ryzen 5,0,256,0,0,radeon vega,windows,0,2499,eurortvagd
"Lenovo IdeaPad S340-15IILD 15,6"" Intel® Core™ i5-1035G1 - 8GB RAM - 1TB SSD Dysk - MX250 Grafika - Win10","15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 10gen 1035G1 1,0 - 3,6 GHz",8,1 TB SSD,nVidia® GeForce MX 250 + Intel UHD Graphics,Windows 10 Home Edition,3 099 z?,0,lenovo,15.6,1920x1080,0,i5,0,1024,0,0,geforce mx,windows,0,3099,eurortvagd
"Acer Nitro 5 15,6"" Intel® Core™ i5-8300H - 8GB RAM - 512GB SSD Dysk - GTX1650 Grafika - Win10","15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 8gen 8300H 2,3 - 4,0 GHz",8,512 GB SSD,nVidia® GeForce GTX1650 + Intel UHD Graphics 630,Windows 10 Home Edition,3 499 z?,0,acer,15.6,1920x1080,0,i5,0,512,0,0,geforce gtx,windows,0,3499,eurortvagd
"Lenovo IdeaPad S340-14API 14"" AMD Ryzen 5 3500U - 8GB RAM - 512GB Dysk - Win10","14 cali,  1920 x 1080 pikseli","AMD Ryzen™ 5 3500U 2,1 - 3,7 GHz",8,512 GB SSD,AMD Radeon Vega 8,Windows 10 Home Edition,2 499 z?,0,lenovo,14.0,1920x1080,0,ryzen 5,0,512,0,0,radeon vega,windows,0,2499,eurortvagd
"ASUS X509FA-EJ078T 15,6"" Intel® Core™ i5-8265U - 8GB RAM - 512GB Dysk - Win10","15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 8gen 8265U 1,6 - 3,9 GHz",8,512 GB SSD,Intel® UHD Graphics 620,Windows 10 Home Edition,2 699 z?,0,asus,15.6,1920x1080,0,i5,0,512,0,0,integrated,windows,0,2699,eurortvagd
"ASUS X509JA-BQ084T 15,6"" Intel® Core™ i5-1035G1 - 8GB RAM - 512GB Dysk - Win10","15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 10gen 1035G1 1,0 - 3,6 GHz",8,512 GB SSD,Intel® UHD Graphics,Windows 10 Home Edition,2 699 z?,0,asus,15.6,1920x1080,0,i5,0,512,0,0,integrated,windows,0,2699,eurortvagd
"ASUS ROG Strix G G531GV-AL390 15,6"" 120Hz Intel® Core™ i7-9750H - 16GB RAM - 512GB Dysk - RTX2060 Grafika","15,6 cala,  1920 x 1080 pikseli 120 Hz","Intel® Core™ i7 9gen 9750H 2,6 - 4,5 GHz",16,512 GB SSD,nVidia® GeForce RTX 2060 + Intel UHD Graphics 630,,5 449 z?,0,asus,15.6,1920x1080,0,i7,0,512,0,0,geforce rtx,none,0,5449,eurortvagd
"Huawei MateBook 13 13"" Intel® Core™ i5-8265U - 8GB RAM - 256GB Dysk - MX150 Grafika - Win10","13 cali,  2160 x 1440 pikseli","Intel® Core™ i5 8gen 8265U 1,6 - 3,9 GHz",8,256 GB SSD,nVidia® GeForce MX150 + Intel UHD Graphics 620,Windows 10 Home Edition,2 699 z?,0,huawei,13.0,2160x1440,0,i5,0,256,0,0,geforce mx,windows,0,2699,eurortvagd
